algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
hdfsrs_10_4,4,0,0,1717700333123597902,0,4860263341,155.009946,2493.51894,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[350.0002098083496, 350.0002098083496, 350.0002098083496, 350.0002098083496]"
hdfsrs_10_4,5,0,0,1717700338476617436,0,5737138871,223.101215,2635.670291,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[420.00025177001953, 420.00025177001953, 420.00025177001953, 420.00025177001953]"
hdfsrs_10_4,6,0,0,1717700344737983163,0,4374353343,179.83823,2346.33593,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[490.00029373168945, 490.00029373168945, 490.00029373168945, 490.00029373168945]"
hdfsrs_10_4,7,0,0,1717700349536447443,0,5456424373,184.14341,2857.460893,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[560.0003356933594, 560.0003356933594, 560.0003356933594, 560.0003356933594]"
hdfsrs_10_4,8,0,0,1717700355434791648,0,4693079784,113.237179,2383.113929,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[630.0003776550293, 630.0003776550293, 630.0003776550293, 630.0003776550293]"
hdfsrs_10_4,9,0,0,1717700360562095712,0,4056044031,177.573145,2347.181065,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[700.0004196166992, 700.0004196166992, 700.0004196166992, 700.0004196166992]"
vandermonders_3_2,0,0,0,1717700366281386817,0,46408063347,42296.27148,2324.331802,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[166.66670894622803, 166.66670894622803]"
vandermonders_3_2,1,0,0,1717700413096193159,0,47238083255,42237.509975,3549.261663,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[333.33341789245605, 333.33341789245605]"
vandermonders_3_2,2,0,0,1717700460767008487,0,47530033037,41438.024376,3943.148696,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[500.0001268386841, 500.0001268386841]"
vandermonders_3_2,3,0,0,1717700508730821203,0,48192732237,43305.865845,2743.374117,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[666.6668357849121, 666.6668357849121]"
vandermonders_3_2,4,0,0,1717700557379773075,0,49120033368,43616.798784,3417.810703,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[833.3335447311401, 833.3335447311401]"
